Name,GPA,Skills,Projects,Preferred Domain,Certifications,Internships Completed,Hackathon Participation,Github Profile Score (/10),Selected
Harsh,7.22,"R, Statistics",IoT Home Automation,Backend,Git/GitHub,2,Yes,4.8,Yes
Ankit,6.81,"Java, OOP",Health Data Analysis,Mobile Dev,Udemy Web Dev,1,No,7.4,Yes
Pranav,8.59,"C++, DSA",Sales Dashboard,Mobile Dev,NPTEL AI,1,Yes,9.7,Yes
Tara,8.69,"C, Embedded",Credit Scoring,Data Science,Google Data Cert,1,No,6.3,Yes
Kritika,6.45,"C++, DSA",Sales Dashboard,Mobile Dev,NPTEL AI,1,No,9.6,Yes
Nikhil,9.06,"Swift, iOS Dev",Health Data Analysis,AI/ML,AI for Everyone,0,Yes,5.6,No
Arjun,7.16,"C++, DSA",IoT Home Automation,Frontend,Kaggle Competitions,0,Yes,9.3,No
Deepak,8.94,"C++, DSA",Health Data Analysis,Backend,Kaggle Competitions,2,Yes,9.3,No
Ritu,7.68,"HTML, CSS, JS",Chatbot,Cybersecurity,Udemy Web Dev,0,Yes,9.4,Yes
Rajan,9.04,"Python, ML",Loan Prediction,Backend,Coursera ML,1,No,9.8,Yes
Shreya,6.71,"R, Statistics",IoT Home Automation,Frontend,AWS Cloud Basics,1,Yes,7.5,Yes
Vikram,6.27,"Java, OOP",Health Data Analysis,Cybersecurity,Linux Essentials,0,Yes,9.1,Yes
Payal,6.97,"C++, DSA",Portfolio Website,Data Analysis,Kaggle Competitions,1,No,7,Yes
Ajay,6.02,"HTML, CSS, JS",Portfolio Website,Mobile Dev,DSA Specialization,2,No,8.5,No
Ansh,8.11,"C, Embedded",Chatbot,Frontend,Linux Essentials,2,Yes,8.6,Yes
Ravi,9.07,"Swift, iOS Dev",Portfolio Website,Frontend,Google Data Cert,0,Yes,4.3,No
Ramesh,7.52,"Python, NLP",Credit Scoring,DevOps,Google Data Cert,0,Yes,9.6,No
Sonali,6.71,"Python, NLP",Sales Dashboard,Data Science,Linux Essentials,0,No,8.1,Yes
Dev,8.42,"JavaScript, React",Loan Prediction,DevOps,Linux Essentials,2,No,6.2,Yes
Meena,7.46,"JavaScript, React",Sales Dashboard,Frontend,Kaggle Competitions,0,No,5.5,Yes
Kavya,9.5,"Python, ML",Loan Prediction,Frontend,Kaggle Competitions,0,Yes,7.1,Yes
Vidya,7.42,"Python, ML",Health Data Analysis,Web Dev,Git/GitHub,1,Yes,8.5,Yes
Gaurav,8.25,"C, Embedded",Credit Scoring,Frontend,Coursera ML,2,Yes,5.6,Yes
Pooja,6.21,"JavaScript, React",Health Data Analysis,DevOps,DSA Specialization,2,Yes,4.9,Yes
Aman,8.03,"Swift, iOS Dev",Health Data Analysis,AI/ML,AWS Cloud Basics,1,Yes,4.5,Yes
Karan,8.29,"R, Statistics",Sales Dashboard,Data Analysis,DSA Specialization,1,Yes,9.4,No
Rohit,7.93,"R, Statistics",Library System,Mobile Dev,Linux Essentials,0,No,5.1,No
Mihir,6.35,"Python, NLP",E-commerce Site,Web Dev,AWS Cloud Basics,0,No,4.7,Yes
Rhea,8.58,"Python, ML",E-commerce Site,AI/ML,Udemy Web Dev,0,Yes,4.8,Yes
Lavanya,8.36,"Python, NLP",Portfolio Website,Mobile Dev,Udemy Web Dev,2,Yes,5.2,No
Tanya,9.33,"Python, NLP",Loan Prediction,Embedded Systems,AI for Everyone,2,No,7.9,Yes
Bhavana,9.47,"C++, DSA",E-commerce Site,Embedded Systems,Git/GitHub,0,Yes,8,No
Neha,8.85,"Java, OOP",Library System,DevOps,DSA Specialization,1,No,6.5,Yes
Isha,7.23,"C, Embedded",E-commerce Site,Web Dev,AWS Cloud Basics,2,Yes,9.5,Yes
Sameer,8.13,"Java, OOP",IoT Home Automation,Backend,Git/GitHub,1,Yes,8.3,Yes
